fold_idx,best_val_loss,best_epoch,final_epoch,train_samples,val_samples,training_time_seconds,early_stopped,best_model_path
0,0.17189770936965942,0,50,43,5,840.8895597457886,False,outputs/runs/utooth_10f_v2/checkpoints/fold_0/utooth-epoch=44-val_loss=0.1719.ckpt
1,0.11756467819213867,0,36,43,5,716.2601523399353,True,outputs/runs/utooth_10f_v2/checkpoints/fold_1/utooth-epoch=25-val_loss=0.1176.ckpt
2,0.3252643346786499,0,32,43,5,658.6064255237579,True,outputs/runs/utooth_10f_v2/checkpoints/fold_2/utooth-epoch=21-val_loss=0.3253.ckpt
3,0.15417474508285522,0,50,43,5,1020.4159655570984,False,outputs/runs/utooth_10f_v2/checkpoints/fold_3/utooth-epoch=44-val_loss=0.1542.ckpt
4,0.1106368899345398,0,50,43,5,1053.2101373672485,False,outputs/runs/utooth_10f_v2/checkpoints/fold_4/utooth-epoch=49-val_loss=0.1106.ckpt
5,0.12263840436935425,0,49,43,5,1079.417013168335,False,outputs/runs/utooth_10f_v2/checkpoints/fold_5/utooth-epoch=38-val_loss=0.1226.ckpt
6,0.10595136880874634,0,50,43,5,1204.5938558578491,False,outputs/runs/utooth_10f_v2/checkpoints/fold_6/utooth-epoch=49-val_loss=0.1060.ckpt
7,0.20147430896759033,0,41,43,5,1092.5379841327667,True,outputs/runs/utooth_10f_v2/checkpoints/fold_7/utooth-epoch=30-val_loss=0.2015.ckpt
8,0.1453680396080017,0,50,44,4,1481.4605662822723,False,outputs/runs/utooth_10f_v2/checkpoints/fold_8/utooth-epoch=49-val_loss=0.1454.ckpt
9,0.16877543926239014,0,42,44,4,1237.1570472717285,True,outputs/runs/utooth_10f_v2/checkpoints/fold_9/utooth-epoch=31-val_loss=0.1688.ckpt
